,id_0,0|order_make,0|remove_obstacle,0|ad_opened,0|ad_finished,0|energy,0|energy_get,0|coin_cost,0|coin_get,0|ruby_cost,0|ruby_get,label
5828,abffcd888063cf21,7.0,22.0,0.0,0.0,5.0,50.0,150.0,736.0,3.0,21.0,1
7557,ed2c534c830d29fb,15.0,27.0,0.0,0.0,8.0,75.0,890.0,900.0,43.0,143.0,1
2931,89241a4ff6a9ccad,2.0,20.0,0.0,0.0,18.0,50.0,0.0,588.0,0.0,20.0,0
350,0a0905951d1e4341,16.0,42.0,2.0,0.0,2.0,75.0,960.0,1062.0,4.0,36.0,1
1570,333213b33f63f800,6.0,36.0,4.0,2.0,29.0,165.0,0.0,1013.0,18.0,44.0,1
5605,a374c4626e700be5,2.0,3.0,0.0,0.0,105.0,30.0,0.0,255.0,0.0,15.0,1
838,1a5850b47f97a937,11.0,38.0,2.0,0.0,37.0,180.0,0.0,975.0,0.0,33.0,1
8070,ff465eefe2128979,8.0,28.0,0.0,0.0,14.0,90.0,0.0,668.0,4.0,30.0,1
6254,bb3418328d4abd26,11.0,100.0,28.0,14.0,52.0,819.0,1445.0,1666.0,56.0,63.0,1
175,050C6A55-4B03-4A9F-86B1-84C3511A8513,9.0,38.0,2.0,1.0,82.0,165.0,0.0,919.0,1.0,36.0,1
697,2165b40d5e2c9d55,1.0,3.0,0.0,0.0,74.0,0.0,0.0,214.0,0.0,5.0,0
2211,4833da4af80e2e66,10.0,67.0,2.0,1.0,2.0,414.0,1335.0,1344.0,3.0,46.0,1
3527,71e2e616ce70a17b,30.0,44.0,10.0,5.0,39.0,105.0,1180.0,1434.0,25.0,57.0,1
4035,80fc31d6558f87a1,13.0,58.0,2.0,0.0,52.0,305.0,0.0,1058.0,45.0,56.0,1
3810,7C766486-C748-4AA8-8E1F-5B872DF640E0,15.0,97.0,16.0,8.0,7.0,715.0,1200.0,1512.0,1.0,47.0,1
5147,B5CE1A7E-1154-4927-96B4-625E903AD2BE,8.0,45.0,4.0,2.0,2.0,215.0,150.0,956.0,4.0,34.0,1
2983,60e90b6497e9e58b,10.0,31.0,0.0,0.0,40.0,75.0,0.0,686.0,9.0,30.0,1
7440,e970ed8e2ad2bd02,6.0,31.0,0.0,0.0,61.0,165.0,0.0,858.0,6.0,34.0,1
755,186a17285817a6dc,12.0,62.0,6.0,3.0,176.0,665.0,700.0,1121.0,24.0,51.0,1
6770,cf3f80574ae492c8,7.0,11.0,0.0,0.0,86.0,60.0,0.0,472.0,0.0,20.0,1
3427,6e77db09d36a1df1,19.0,92.0,4.0,2.0,3.0,415.0,0.0,1486.0,53.0,56.0,1
4307,8BBA18F3-2BED-49EB-B7BE-7F505B5BF6A1,6.0,58.0,2.0,1.0,15.0,425.0,1035.0,1284.0,42.0,56.0,1
6297,bd2c3dc48aba4355,36.0,123.0,56.0,26.0,16.0,854.0,2620.0,2845.0,145.0,151.0,1
6615,c907d0029b971f22,6.0,34.0,0.0,0.0,46.0,165.0,0.0,709.0,6.0,31.0,1
3137,94050671501f7f5b,6.0,55.0,2.0,1.0,3.0,345.0,350.0,1256.0,0.0,44.0,0
4526,d257e957b81ba1a9,11.0,54.0,6.0,3.0,1.0,355.0,1380.0,1461.0,35.0,54.0,0
1921,3e7ec9988f5d4618,3.0,3.0,0.0,0.0,99.0,25.0,0.0,284.0,12.0,15.0,1
3680,7698640fe70d5dbf,13.0,60.0,0.0,0.0,83.0,429.0,1055.0,1143.0,26.0,56.0,1
3956,7e2d987d9ffc4cdf,33.0,63.0,12.0,6.0,0.0,195.0,1270.0,1502.0,136.0,158.0,1
6772,cf64950fc6c2533a,7.0,32.0,0.0,0.0,2.0,75.0,0.0,849.0,9.0,43.0,1
4253,885C3057-F7F7-4EBA-89DC-DECD9CD53480,2.0,21.0,2.0,1.0,18.0,50.0,0.0,698.0,0.0,23.0,1
22,0098d384219deeb2,9.0,86.0,2.0,1.0,2.0,679.0,1370.0,1526.0,60.0,71.0,1
5107,f23e9d77b4b5840a,5.0,28.0,0.0,0.0,80.0,165.0,0.0,833.0,0.0,31.0,0
3096,91ee8425a4ed29da,3.0,18.0,0.0,0.0,25.0,50.0,0.0,608.0,0.0,21.0,0
