id_0,order_make,remove_obstacle,ad_opened,ad_finished,energy_get,coin_cost,coin_get,ruby_cost,ruby_get,label
0fd078f49021ec21,51.0,205.0,0.0,40.0,1748.0,2595.0,2714.0,252.0,325.0,0
3df9cf80764c5ad1,2.0,15.0,0.0,0.0,50.0,0.0,437.0,0.0,22.0,0
842ace52a8fb5596,19.0,137.0,0.0,0.0,895.0,1050.0,2088.0,15.0,68.0,0
2fe6bf3faa730ec0,28.0,122.0,23.0,10.0,735.0,1175.0,2119.0,8.0,58.0,0
35be79993bffb94a,64.0,340.0,2.0,2.0,2156.0,3530.0,4099.0,186.0,196.0,1
52bfec984da2530e,31.0,123.0,36.0,20.0,445.0,0.0,2662.0,35.0,69.0,1
2647503C-131C-4E99-8F6E-079062D9FFF6,73.0,276.0,0.0,12.0,1806.0,4460.0,4772.0,393.0,409.0,0
ebc14cf7529d0919,29.0,102.0,2.0,1.0,505.0,1750.0,1868.0,17.0,74.0,1
f717722527fef25e,43.0,237.0,8.0,38.0,2045.0,5000.0,5020.0,564.0,564.0,0
2e36ad9d81479f68,29.0,42.0,0.0,0.0,75.0,1045.0,1265.0,44.0,47.0,0
189e589ba1062881,10.0,45.0,2.0,1.0,75.0,0.0,1047.0,1.0,35.0,1
e578bddca94ea475,8.0,40.0,0.0,1.0,265.0,0.0,874.0,42.0,143.0,0
d33ffc4cbc47a804,4.0,22.0,0.0,0.0,50.0,0.0,520.0,0.0,21.0,0
a50d413a770a7c68,6.0,8.0,0.0,0.0,25.0,0.0,329.0,12.0,15.0,0
6e9c308eef398d41,5.0,40.0,0.0,0.0,265.0,0.0,789.0,0.0,32.0,0
75fe0b914c8486c5,2.0,8.0,0.0,0.0,50.0,0.0,362.0,3.0,20.0,0
f78867b68bee929a,3.0,21.0,0.0,1.0,50.0,0.0,623.0,0.0,21.0,0
1650ef2e42776390,11.0,97.0,0.0,0.0,730.0,1475.0,1478.0,56.0,56.0,0
FF6D5853-FDD4-4058-BAED-474B05BD43C0,12.0,58.0,0.0,0.0,325.0,460.0,1234.0,25.0,55.0,0
92d6617e993c1a19,1.0,7.0,0.0,0.0,25.0,0.0,282.0,0.0,15.0,0
d8bf6f5da95f2130,4.0,31.0,0.0,1.0,165.0,0.0,689.0,0.0,31.0,1
78bd11ba2b73ba51,4.0,15.0,0.0,0.0,50.0,0.0,486.0,0.0,20.0,0
cb0391bdf499eab5,39.0,228.0,0.0,1.0,1335.0,1750.0,2579.0,25.0,72.0,0
3ab166d01010a8ff,1.0,8.0,0.0,0.0,50.0,0.0,347.0,0.0,20.0,0
0bfd4623795d5aec,31.0,183.0,8.0,7.0,235.0,1835.0,2593.0,25.0,80.0,1
eb94d983e8333773,7.0,36.0,0.0,0.0,215.0,0.0,1027.0,0.0,34.0,0
3C16A3FB-453D-4292-AC23-8DED2BC69AE0,17.0,79.0,8.0,12.0,655.0,700.0,1461.0,25.0,59.0,1
2C083BEF-74DB-4586-B71D-38C0CB038119,90.0,325.0,0.0,37.0,2855.0,8500.0,10706.0,2457.0,6792.0,0
fe6340ed70151be6,60.0,279.0,4.0,2.0,1622.0,3835.0,3887.0,170.0,177.0,1
167C8962-C3BC-44C8-8901-55A974158420,27.0,108.0,0.0,9.0,495.0,0.0,1912.0,25.0,51.0,1
8e98598cceff236b,21.0,195.0,0.0,15.0,1625.0,2940.0,3661.0,251.0,326.0,1
44CEB14C-2251-4904-9894-5EB7DBA34775,5.0,21.0,2.0,1.0,50.0,260.0,603.0,5.0,22.0,0
5d831f372f354679,7.0,24.0,0.0,3.0,50.0,0.0,652.0,0.0,21.0,0
9064192f612d342c,4.0,3.0,0.0,0.0,25.0,0.0,283.0,12.0,15.0,1
aed4004c479564aa,7.0,10.0,0.0,0.0,50.0,0.0,587.0,14.0,31.0,0
a2f1dc79bd4f0f33,1.0,3.0,0.0,0.0,0.0,0.0,219.0,0.0,5.0,0
f12357d0fe84863f,17.0,70.0,0.0,2.0,445.0,0.0,1705.0,25.0,64.0,1
744c4b135d978aad,0.0,1.0,0.0,0.0,0.0,0.0,199.0,0.0,5.0,1
4d9fd65b00fa1d2d,2.0,8.0,0.0,0.0,25.0,0.0,279.0,0.0,15.0,0
2FC50564-0F03-4FD0-9DA1-FE54F947A9DA,9.0,48.0,0.0,2.0,235.0,0.0,1183.0,0.0,39.0,0
a640c7c41bee886c,5.0,41.0,0.0,1.0,165.0,0.0,1006.0,0.0,134.0,0
dcf3d2488c5a6bbd,93.0,192.0,92.0,69.0,2075.0,7150.0,8300.0,925.0,2774.0,1
