0|ad_finished,0|coin_get,0|coin_use,0|game_start,0|game_win,0|hint_use,0|ta_app_end,1|ad_finished,1|coin_get,1|coin_use,1|game_start,1|game_win,1|hint_use,1|ta_app_end,2|ad_finished,2|coin_get,2|coin_use,2|game_start,2|game_win,2|hint_use,2|ta_app_end,3|ad_finished,3|coin_get,3|coin_use,3|game_start,3|game_win,3|hint_use,3|ta_app_end,label
0.0,29.0,200.0,9.0,5.0,8.0,798.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,533.0,0.0,66.0,62.0,0.0,4039.065,0.0,129.0,0.0,26.0,25.0,0.0,4103.214,0.0,583.0,0.0,73.0,73.0,3.0,12672.992000000002,0.0,445.0,0.0,66.0,66.0,2.0,8660.287,1
0.0,85.0,0.0,12.0,12.0,1.0,382.76,0.0,39.0,0.0,8.0,7.0,1.0,353.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,12.0,12.0,6.0,880.945,1
0.0,328.0,200.0,23.0,22.0,5.0,1942.856,4.0,244.0,0.0,5.0,4.0,2.0,883.2669999999998,0.0,43.0,500.0,12.0,10.0,7.0,1514.45,0.0,20.0,100.0,7.0,4.0,1.0,620.1870000000001,0
0.0,93.0,200.0,15.0,14.0,4.0,1263.856,3.0,536.0,600.0,40.0,38.0,12.0,7081.094999999998,8.0,436.0,300.0,39.0,34.0,3.0,8514.24,0.0,42.0,100.0,15.0,12.0,1.0,2782.071,0
0.0,92.0,0.0,16.0,15.0,0.0,701.748,0.0,0.0,0.0,1.0,0.0,0.0,44.831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,337.0,0.0,26.0,24.0,2.0,1243.9560000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,52.593999999999994,0
0.0,431.0,0.0,50.0,50.0,3.0,2991.483,0.0,130.0,0.0,36.0,35.0,1.0,3772.593,0.0,33.0,200.0,10.0,8.0,0.0,912.122,4.0,381.0,900.0,41.0,37.0,14.0,7067.178999999999,1
2.0,430.0,0.0,23.0,22.0,0.0,1216.5819999999999,0.0,96.0,0.0,33.0,28.0,1.0,2500.3320000000003,2.0,147.0,0.0,32.0,25.0,3.0,3225.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,343.0,0.0,27.0,25.0,5.0,1111.9289999999999,0.0,120.0,600.0,32.0,30.0,9.0,1655.8490000000004,0.0,24.0,0.0,7.0,6.0,0.0,636.654,0.0,23.0,0.0,8.0,7.0,0.0,761.186,0
0.0,88.0,0.0,16.0,15.0,0.0,571.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,322.0,0.0,22.0,21.0,0.0,1023.308,0.0,8.0,0.0,6.0,5.0,0.0,1069.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9.0,320.0,500.0,15.0,14.0,11.0,2223.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,132.0,100.0,5.0,4.0,1.0,1012.922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,555.0,0.0,83.0,83.0,0.0,8277.821999999998,0.0,112.0,500.0,26.0,26.0,2.0,7041.519,0.0,82.0,0.0,14.0,14.0,3.0,3535.295,0.0,6.0,0.0,2.0,2.0,1.0,354.773,1
0.0,54.0,0.0,11.0,10.0,0.0,733.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,12.0,10.0,2.0,1909.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,406.0,500.0,33.0,33.0,12.0,6014.878000000001,24.0,809.0,900.0,35.0,34.0,10.0,12172.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,745.0,0.0,140.0,137.0,3.0,10613.758999999998,1.0,157.0,0.0,24.0,22.0,2.0,3366.577,0.0,0.0,0.0,1.0,0.0,0.0,213.957,0.0,53.0,0.0,14.0,12.0,3.0,2517.079,1
1.0,176.0,0.0,20.0,19.0,0.0,942.3960000000001,0.0,260.0,0.0,19.0,15.0,5.0,1671.9060000000004,0.0,35.0,0.0,9.0,7.0,1.0,745.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,88.0,0.0,14.0,13.0,1.0,814.823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,339.85699999999997,0.0,244.0,200.0,14.0,8.0,5.0,2140.224,0
1.0,505.0,500.0,63.0,60.0,13.0,9079.009999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,52.0,0.0,7.0,7.0,0.0,427.41600000000005,0.0,38.0,0.0,6.0,6.0,0.0,742.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,367.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,613.0,700.0,94.0,92.0,15.0,10177.744,0.0,278.0,200.0,66.0,66.0,3.0,13605.637,0.0,318.0,400.0,78.0,75.0,4.0,20268.934,0.0,167.0,200.0,32.0,28.0,2.0,9295.177,0
2.0,470.0,100.0,51.0,50.0,7.0,5547.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,200.0,1.0,0.0,4.0,126.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,126.0,0.0,19.0,19.0,0.0,894.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,661.0,0.0,80.0,79.0,3.0,6816.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,900.0,18.0,18.0,11.0,3158.2290000000003,0.0,41.0,100.0,6.0,5.0,1.0,1394.2779999999998,1
0.0,599.0,700.0,96.0,96.0,12.0,18189.153000000002,0.0,159.0,200.0,36.0,32.0,2.0,14045.941,0.0,207.0,0.0,41.0,36.0,1.0,13586.479,1.0,224.0,300.0,38.0,35.0,5.0,20240.793,1
0.0,728.0,0.0,100.0,99.0,6.0,8489.665,0.0,61.0,100.0,12.0,11.0,3.0,1608.516,0.0,54.0,500.0,7.0,7.0,5.0,1715.4639999999995,1.0,261.0,600.0,27.0,26.0,7.0,4766.803,1
5.0,344.0,0.0,14.0,12.0,2.0,1125.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,204.0,0.0,23.0,15.0,2.0,1514.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.0,200.0,27.0,26.0,7.0,3184.7709999999997,1
0.0,488.0,0.0,81.0,81.0,0.0,4567.654,0.0,241.0,900.0,66.0,61.0,14.0,10505.355999999998,0.0,705.0,700.0,127.0,125.0,10.0,13772.597,0.0,273.0,200.0,44.0,42.0,3.0,15227.821999999998,1
3.0,404.0,600.0,32.0,29.0,13.0,3910.632,5.0,337.0,300.0,50.0,45.0,4.0,15953.149000000005,0.0,30.0,0.0,13.0,11.0,0.0,4854.785,0.0,36.0,0.0,15.0,12.0,0.0,5310.442999999998,1
1.0,121.0,200.0,11.0,10.0,4.0,1135.7820000000004,5.0,447.0,300.0,12.0,11.0,7.0,3176.429,0.0,2.0,0.0,1.0,1.0,1.0,292.623,0.0,46.0,200.0,10.0,9.0,6.0,2956.2070000000003,0
0.0,95.0,0.0,16.0,16.0,2.0,749.342,0.0,381.0,100.0,24.0,21.0,4.0,1982.4920000000002,0.0,226.0,200.0,50.0,46.0,5.0,4586.934,0.0,83.0,100.0,3.0,1.0,1.0,369.156,0
0.0,706.0,0.0,115.0,111.0,6.0,7954.001999999998,0.0,427.0,1200.0,76.0,67.0,16.0,9962.075,0.0,323.0,200.0,52.0,45.0,3.0,8391.979000000001,0.0,379.0,0.0,64.0,55.0,1.0,8814.795,1
0.0,383.0,500.0,46.0,39.0,12.0,3225.0950000000007,0.0,165.0,200.0,65.0,60.0,3.0,10171.487,0.0,52.0,0.0,18.0,13.0,0.0,4417.647,0.0,95.0,0.0,19.0,17.0,1.0,5661.351,1
0.0,372.0,0.0,34.0,33.0,0.0,0.0,0.0,241.0,0.0,70.0,69.0,0.0,199.674,0.0,183.0,0.0,42.0,39.0,6.0,8287.036,0.0,146.0,0.0,19.0,19.0,0.0,6700.107999999998,1
0.0,55.0,0.0,11.0,10.0,1.0,520.5550000000002,0.0,33.0,0.0,5.0,3.0,1.0,262.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,434.0,0.0,44.0,41.0,0.0,5416.786999999999,0.0,38.0,0.0,15.0,11.0,0.0,2554.336,0.0,206.0,800.0,52.0,46.0,16.0,11249.934,0.0,102.0,0.0,19.0,17.0,0.0,6655.202000000001,1
0.0,50.0,0.0,8.0,7.0,0.0,232.514,0.0,41.0,200.0,12.0,11.0,4.0,1525.4370000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
